species,category,interpretation_text
臺灣藍鵲,behavior,"Taiwan Blue Magpie is a social bird, often active in small groups of 5-10 individuals. They cooperate in foraging and jointly defend their territory. When danger is detected, they emit loud alarm calls."
臺灣藍鵲,behavior,"This bird is very intelligent and observes environmental changes. During breeding season, they become more alert, protecting nests and young. Their nests are usually built high in trees, constructed with branches and leaves."
臺灣藍鵲,behavior,"Taiwan Blue Magpie has a clear hierarchy system, with leading individuals in groups. Leaders guide the group in foraging and movement, with other members following. This social structure helps improve survival rates."
麻雀,behavior,"Sparrows are diurnal birds, mainly active during the day. Their activity patterns align with human schedules, most active in morning and evening. They utilize food resources created by human activities."
麻雀,behavior,"This bird is highly adapted to urban environments, using building crevices for nesting. Their nests are typically built under eaves, behind air conditioning units, and other hidden places, constructed with grass and feathers."
麻雀,behavior,"Sparrows have strong territorial instincts, protecting their foraging areas. When other birds intrude, they emit warning calls and may even drive away intruders. This behavior is more pronounced during breeding season."
鳳頭蒼鷹,behavior,"Crested Goshawk is a solitary raptor, usually active alone except during breeding season. They have fixed activity ranges, patrolling their territory and searching for prey."
鳳頭蒼鷹,behavior,"This hawk's hunting method is very distinctive. They perch on high vantage points to observe, then quickly dive to catch prey when spotted. Their talons are very strong, able to firmly grasp prey."
鳳頭蒼鷹,behavior,"Crested Goshawks become more active during breeding season, performing courtship flight displays. Males perform various aerial acrobatics in the air, demonstrating their abilities and health status."
大鳳蝶,behavior,"Great Mormon is a diurnal butterfly, mainly active during the day. They prefer flying in sunny locations, especially in open grasslands and gardens."
大鳳蝶,behavior,"This butterfly's flight speed is not fast, but very stable. They follow fixed routes while flying, searching for suitable flowers to collect nectar. They have preferences for certain flower species."
大鳳蝶,behavior,"When resting, Great Mormons fold their wings, revealing the protective colors on the wing undersides. These colors help them blend into the environment and avoid predator attention."
紫斑蝶,behavior,"Purple Crow is a migratory butterfly, moving according to seasonal changes. In winter, they gather in warm southern regions, forming large overwintering groups."
紫斑蝶,behavior,"This butterfly has strong flight capabilities, able to migrate long distances. They utilize air currents and wind directions to conserve energy, demonstrating remarkable navigation and flight skills."
紫斑蝶,behavior,"During migration, Purple Crows move collectively, with thousands of butterflies flying together, creating spectacular sights. This collective behavior may help improve survival rates and navigation accuracy."
臺灣藍鵲,habitat,"Taiwan Blue Magpie primarily inhabits mid to low elevation mountain broadleaf forests in Taiwan, at elevations between 500-2000 meters. They prefer environments with rich tree cover and open spaces."
臺灣藍鵲,habitat,"This bird particularly likes secondary forests and planted forests, which provide abundant food resources and nesting sites. They also appear in semi-natural environments like parks and campuses."
臺灣藍鵲,habitat,"Taiwan Blue Magpie requires diverse habitats, including tall trees for nesting, open spaces for foraging, and areas near water sources. They have certain requirements for environmental quality."
麻雀,habitat,"Sparrows are extremely well-adapted to urban environments and can survive in various human activity areas. From parks, markets, schools to residential areas, they are almost everywhere."
麻雀,habitat,"This bird particularly likes environments combining buildings and green spaces. Buildings provide nesting sites, while green spaces provide food resources. They utilize various resources created by human activities."
麻雀,habitat,"Despite their strong adaptability, sparrows still need some natural environment. They prefer areas with trees, grasslands, and water sources, which provide complete living conditions."
鳳頭蒼鷹,habitat,"Crested Goshawk primarily inhabits forests in Taiwan's mid to low elevation mountains, at elevations between 200-1500 meters. They prefer environments with tall trees and open views."
鳳頭蒼鷹,habitat,"This hawk needs sufficient space for hunting, so they prefer forest edges and open areas. They use trees as observation points, searching for prey from high perches."
鳳頭蒼鷹,habitat,"Crested Goshawk has certain habitat requirements, needing rich prey resources and suitable tall trees for nesting. Declining environmental quality affects their survival."
大鳳蝶,habitat,"Great Mormon primarily inhabits open environments in low elevation areas, including grasslands, gardens, and parks. They prefer environments with abundant flowers for nectar collection."
大鳳蝶,habitat,"This butterfly particularly likes environments with Rutaceae plants, as their caterpillars feed on these plants. Citrus orchards and lemon groves are common habitats."
大鳳蝶,habitat,"Great Mormon needs diverse habitats, including open foraging areas and suitable plants for egg-laying. They have good adaptability and can survive in various semi-natural environments."
紫斑蝶,habitat,"Purple Crow primarily inhabits mid to low elevation mountains in Taiwan, especially environments with abundant host plants. They migrate between different regions according to seasonal changes."
紫斑蝶,habitat,"This butterfly gathers in warm southern regions during winter, forming large overwintering groups. These areas typically have suitable temperature and humidity, as well as sufficient food resources."
紫斑蝶,habitat,"Purple Crow needs a complete habitat chain, including suitable host plants for egg-laying, abundant nectar sources, and appropriate climate conditions. Habitat integrity is crucial for their survival."
